Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
tile,AStar,manhattan,9,22.26666667,915.2,1427,0.382397374
tile,RTAStar,manhattan,9,232.2,232.2,392.4666667,0.101259338
