Domain,Solver,Heuristic,Len_state,Cost,Expanded_count,Generated_count,CPU_time
pancake,UCS,None,10,10,3145834.233,3614110.733,286.7664302
pancake,AStar,gap,10,10,144.8333333,1063.1,0.022535907
